Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,Which organ is responsible for pumping blood in the human body?,Heart,Liver,Heart,Stomach,Kidney,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 1 ,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,How many bones are there in the adult human body?,206,106,206,306,406,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,Which system is responsible for the movement of our body parts?,Muscular system,Nervous system,Muscular system,Skeletal system,Respiratory system,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,What is the main function of the digestive system?,Digesting food,Pumping blood,Breathing,Digesting food,Producing energy,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,Which system carries blood to different parts of the body?,Circulatory system,Nervous system,Circulatory system,Respiratory system,Excretory system,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,Which organ is part of the respiratory system?,Lungs,Liver,Stomach,Lungs,Kidneys,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,What is the function of the excretory system?,Removal of waste materials,Digestion of food,Removal of waste materials,Production of young ones,Transport of oxygen,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,How many sense organs do humans have?,Five,Four,Five,Six,Seven,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,Which system helps in passing information from one part of the body to another?,Nervous system,Respiratory system,Nervous system,Circulatory system,Muscular system,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,Multiple Choice Question (QPG) Test Paper,What is the major excretory organ of the human body?,Kidney,Kidney,Liver,Lungs,Skin,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator MCQ 10,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The human body consists of both external and internal organs.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The skeletal system includes organs like the heart and lungs.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The digestive system is responsible for purifying blood in the human body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),"The respiratory system consists of the brain, spinal cord, and nerves .",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The reproductive system helps in the production of young ones or babies.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The circulatory system carries blood to different parts of the body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The excretory system removes waste materials such as urine and sweat from the body.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 5- Human Body: A Living Wonder,,,True or False (QPG),The muscular system helps in the movement of the body,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 5- Human Body: A Living Wonder Test Paper Generator True or False 8,1
