Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Fill in the blank (QPG),__________have many branches rising from the ground.,Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Fill in the blank (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Fill in the blank (QPG),__________live only for a few months.,Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Fill in the blank (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Fill in the blank (QPG),__________absorb water and minerals from the soil.,Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Fill in the blank (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Fill in the blank (QPG),"A tree has thick, hard and woody stem called__________.",Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Fill in the blank (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Multiple Choice Question (QPG) Test Paper,Plants are generally,Not Available,black,red,green,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Multiple Choice Question (QPG) Test Paper,1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Multiple Choice Question (QPG) Test Paper,Seeds are present in,Not Available,root,leaves,fruit,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Multiple Choice Question (QPG) Test Paper,1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Multiple Choice Question (QPG) Test Paper,Which of the following is a herb?,Not Available,banyan,coconut,mint,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Multiple Choice Question (QPG) Test Paper,1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Short Answer Questions (QPG),Name the thing required by plants to make food.,Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Short Answer Questions (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 1 Types of Plants,,,Short Answer Questions (QPG),which part of plant has seed inside it?,Not Available,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 1 Types of Plants Short Answer Questions (QPG),1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 10 Rocks and Minerals,,,Multiple Choice Question (QPG) Test Paper,pencil lead is made of,Not Available,slate,chalk,graphite,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 10 Rocks and Minerals Multiple Choice Question (QPG) Test Paper,1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 10 Rocks and Minerals,,,Multiple Choice Question (QPG) Test Paper,The red fort is located in,Not Available,delhi,none of these,punjab,chandigarh,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 10 Rocks and Minerals Multiple Choice Question (QPG) Test Paper,1
CBSE,Class 2,Science,Science Success (2023-24),Chapter 10 Rocks and Minerals,,,Multiple Choice Question (QPG) Test Paper,The Taj Mahal is made of,Not Available,black marble,white sandstone,white marble,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Science Success (2023-24) Class 2 Chapter 10 Rocks and Minerals Multiple Choice Question (QPG) Test Paper,1
