Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)",
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,Which group of animals do butterflies belong to?,Insects,Birds,Insects,Fish,Mammals,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 1 ,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,How many legs do insects have?,Six,Four,Six,Eight,Ten,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,What is the hard body covering of insects called?,Exoskeleton,Skeleton,Exoskeleton,Endoskeleton,Shell,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,Which stage of an insect's life is characterized by a resting period?,Pupa,Egg,Larva,Pupa,Adult,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,What is the function of spiracles in insects?,Breathing,Eating,Breathing,Seeing,Hearing,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,How many body parts do most insects have?,Three,Two,Three,Four,Five,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,Which insect is known for producing silk?,Silk Moth,Bee,Dragonfly,Silk Moth,Lacewing,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,What is the name of the stage in an insect's life cycle where it eats a lot and grows?,Larva,Egg,Larva,Pupa,Adult,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,Which insect is useful for preventing and killing pests in gardens and fields?,Lacewing,Bee,Dragonfly,Lacewing,Dung Beetle,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 9,1
CBSE,Class 3,Science,Illustrative Science,Chapter 4- Insects,,,Multiple Choice Question (QPG) Test Paper,Why are bed bugs considered harmful?,They spread diseases,They spread diseases,They help in pollination,They clean the environment,They produce silk,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 3 Chapter 4- Insects Test Paper Generator MCQ 10,1
