Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,1,Multiple Choice Question (QPG) Test Paper,What are the two components of an ecosystem?,Biotic and abiotic,Plants and animals,Biotic and abiotic,Producers and consumers,Herbivores and carnivores,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,Which of the following is an example of a biotic component of an ecosystem?,,Temperature,Rainfall,Trees,Soil,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What is the primary aim of agriculture?,To fulfill the demand for food,To fulfill the demand for food,To protect the environment,To produce luxury crops,To reduce pollution,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 3,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What is the role of decomposers in an ecosystem?,They break down dead organisms,They produce oxygen,They clean the air,They break down dead organisms,They provide food for animals,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 4,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What do herbivores eat?,Plants,Meat,Plants,Both plants and meat, Insects,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 5,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,Which of the following is a producer in a food chain?,Grass,Lion,Deer,Grass,Frog,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 6,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What do carnivores eat?,Other animals,Plants,Other animals,Both plants and meat,Insects,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 7,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What is the interdependence of plants and animals?,They help each other survive,They help each other survive,They compete for resources,They do not rely on each other,They have no effect on each other,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 8,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What is a food chain?,A series of organisms where each organism eats the next,A series of organisms where each organism eats the next,A network of relationships between various species,An ecosystem made up of producers and consumers,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 9,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,Multiple Choice Question (QPG) Test Paper,What can happen if there is an imbalance in nature?,Both plants and animals will be affected,Plants will die,Animals will die,Both plants and animals will be affected,Nothing will happen,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator Multiple Choice Question (QPG) Test Paper 10,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),"All living beings, including animals and humans, need food to get energy and stay healthy.",Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 1,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),Farmers play a minor role in the production of food.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5 Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 2,1
CBSE,Class 5,Science,Illustrative Science,Chapter 5- Organisms and Their Interdependence,,,True or False (QPG),The practice of growing crops in a large area is called agriculture.,Not Available,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Science Class 5Chapter 5 Organisms and Their Interdependence Test Paper Generator True or False (QPG) 3,1
