Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),Which of the following does not involve a chemical reaction?,3,a) Digestion of food ,b) Respiration ,c) Melting of candle wax,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 1,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online), The chemical reaction between quicklime and water is characterised by,3,a) Evolution of H2 gas ,b) Change in colour of the product,c) Change in temperature,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 2,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),The chemical equations are balanced to satisfy which of the following law in chemical reaction?,2,a) Law of conservation of magnetism,b) Law of conservation of mass,c) Law of conservation of momentum,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 3,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),Which of the following is a characteristic of chemical reactions?,3,a) Change in colour ,b) Change in temperature,c) All of the above,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 4,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),Which of the following does not happen during a chemical reaction?,3,a) Breaking of old chemical bonds and formation of new chemical bonds.,b) A rearrangement of atoms takes place to form new products.,c) Atoms of one element change into those of another element to form new products.,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 5,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),The chemical reaction between copper sulphate solution and zinc metal is characterised by :,2,a) Evolution of hydrogen gas,b) Change in colour of the product,c) Formation of zinc sulphate precipitate,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 6,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online),Which of the following is a physical change?,3,a) Electrolysis of water ,b) Boiling of water,c) Reaction of water with sodium metal,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 7,1
CBSE,Class 10,Science,NCERT Science,Chapter 1 Chemical Reactions and Equations,,,Multiple Choice Question (Online), What does the symbol (aq) represent in a chemical equation?,3,a) Liquid state ,b) Solid state ,c) Aqueous state,None of the Above,,,,,,NCERT Science Class 10 Chapter 1 MCQ 8,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
