ID_pose,Step
1,"Step 1: Start in standing forward position, facing the screen."
1,Step 2: Turn your body to the right so your right side faces the screen.
1,"Step 3: Bring both feet together, press evenly through the three corners of each foot."
1,Step 4: Hinge at the hips with a long spine and reach down toward the feet.
1,Step 5: Use your index and middle fingers to hook the big toes (or use a strap around the soles).
1,"Step 6: Inhale to lengthen the spine, exhale to fold deeper while keeping the chest open."
2,"Step 1: Start in standing forward position, facing the screen."
2,Step 2: Turn your body to the left so your left side faces the screen.
2,"Step 3: Bring both feet together, press evenly through the three corners of each foot."
2,Step 4: Hinge at the hips with a long spine and reach down toward the feet.
2,Step 5: Use your index and middle fingers to hook the big toes (or use a strap around the soles).
2,"Step 6: Inhale to lengthen the spine, exhale to fold deeper while keeping the chest open."
3,"Step 1: Start in standing forward position, facing the screen."
3,Step 2: Turn your body to the right so your right side faces the screen.
3,Step 3: Step your left foot slightly forward and bend the left knee; thread your right arm under your right thigh and reach your left arm behind your back to clasp hands in a bind.
3,Step 4: Shift weight onto your left foot and inhale to lift your torso upright while keeping the bind secure.
3,"Step 5: Slowly straighten the right leg by lifting it upward, keeping the hips level and the spine long."
3,Step 6: Keep chest lifted and gaze steady toward the screen as you hold balance.
4,"Step 1: Start in standing forward position, facing the screen."
4,Step 2: Turn your body to the left so your left side faces the screen.
4,Step 3: Step your right foot slightly forward and bend the right knee; thread your left arm under your left thigh and reach your right arm behind your back to clasp hands in a bind.
4,Step 4: Shift weight onto your right foot and inhale to lift your torso upright while keeping the bind secure.
4,"Step 5: Slowly straighten the left leg by lifting it upward, keeping the hips level and the spine long."
4,Step 6: Keep chest lifted and gaze steady toward the screen as you hold balance.
5,"Step 1: Start in standing forward position, facing the screen."
5,Step 2: Turn your body to the right so your right side faces the screen.
5,"Step 3: Step your left foot slightly forward and fold, thread your right arm under your right thigh and bind with the left arm behind your back."
5,Step 4: Shift weight into the left leg and inhale to rise upright into the bound position.
5,Step 5: Rotate the torso slightly toward the right (the screen) while lifting and straightening the bound right leg.
5,"Step 6: Keep the spine long and chest open, gaze toward the screen."
6,"Step 1: Start in standing forward position, facing the screen."
6,Step 2: Turn your body to the left so your left side faces the screen.
6,"Step 3: Step your right foot slightly forward and fold, thread your left arm under your left thigh and bind with the right arm behind your back."
6,Step 4: Shift weight into the right leg and inhale to rise upright into the bound position.
6,Step 5: Rotate the torso slightly toward the left (the screen) while lifting and straightening the bound left leg.
6,"Step 6: Keep the spine long and chest open, gaze toward the screen."
7,"Step 1: Start in standing forward position, facing the screen."
7,Step 2: Turn your body to the right so your right side faces the screen.
7,Step 3: Bring your feet together (or hip-width) with toes pointing toward the screen.
7,"Step 4: Inhale, reach the arms overhead; exhale, bend the knees and sink the hips as if sitting on an imaginary chair."
7,"Step 5: Keep knees tracking over the toes, weight in the heels, and tailbone slightly tucked."
7,"Step 6: Lift the chest, relax the shoulders, and hold steady breaths while gazing at the screen."
8,"Step 1: Start in standing forward position, facing the screen."
8,Step 2: Turn your body to the left so your left side faces the screen.
8,Step 3: Bring your feet together (or hip-width) with toes pointing toward the screen.
8,"Step 4: Inhale, reach the arms overhead; exhale, bend the knees and sink the hips as if sitting on an imaginary chair."
8,"Step 5: Keep knees tracking over the toes, weight in the heels, and tailbone slightly tucked."
8,"Step 6: Lift the chest, relax the shoulders, and hold steady breaths while gazing at the screen."
9,"Step 1: Start in standing forward position, facing the screen."
9,Step 2: Turn your body to the right so your right side faces the screen.
9,"Step 3: Step your left foot forward about one stride and bend the left knee to about 90 degrees, keeping left knee over the left ankle."
9,Step 4: Keep the right leg extended back with the ball of the right foot pressing into the mat and toes tucked slightly.
